b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'84',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'01:00:00',b'1.0',b'26.3',b'',b'',b'5',b'',b'046',b'1',b'',b'',b'',b'',b'1001.2',b'1010.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'85',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'02:00:00',b'1.0',b'28.3',b'',b'',b'99',b'',b'084',b'4',b'',b'',b'',b'',b'1002.0',b'1010.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'86',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'03:00:00',b'1.0',b'30.5',b'',b'',b'96',b'',b'069',b'6',b'',b'',b'',b'',b'1002.2',b'1011.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'87',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'04:00:00',b'0.0',b'31.0',b'',b'',b'98',b'',b'083',b'5',b'',b'',b'',b'',b'1001.8',b'1010.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'88',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'05:00:00',b'0.0',b'30.4',b'',b'',b'93',b'',b'065',b'7',b'',b'',b'',b'',b'1001.1',b'1009.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'89',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'06:00:00',b'0.0',b'31.8',b'',b'',b'89',b'',b'098',b'7',b'',b'',b'',b'',b'1000.0',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'90',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'07:00:00',b'0.0',b'31.7',b'',b'',b'89',b'',b'069',b'6',b'',b'',b'',b'',b'999.0',b'1007.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'91',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'08:00:00',b'0.0',b'31.1',b'',b'',b'89',b'',b'101',b'5',b'',b'',b'',b'',b'998.0',b'1006.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'92',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'09:00:00',b'0.0',b'30.8',b'',b'',b'89',b'',b'078',b'6',b'',b'',b'',b'',b'997.6',b'1006.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'93',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'10:00:00',b'0.0',b'28.7',b'',b'',b'97',b'',b'086',b'3',b'',b'',b'',b'',b'998.0',b'1006.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'94',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'11:00:00',b'0.0',b'28.2',b'',b'',b'99',b'',b'077',b'2',b'',b'',b'',b'',b'998.5',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'95',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'12:00:00',b'0.0',b'27.1',b'',b'32.5',b'99',b'',b'085',b'2',b'',b'',b'',b'',b'999.0',b'1007.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'96',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'13:00:00',b'0.0',b'26.9',b'',b'',b'99',b'',b'055',b'2',b'',b'',b'',b'',b'999.9',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'97',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'14:00:00',b'0.0',b'26.9',b'',b'',b'99',b'',b'240',b'1',b'',b'',b'',b'',b'1000.7',b'1009.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'98',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'15:00:00',b'0.0',b'26.3',b'',b'',b'99',b'',b'253',b'1',b'',b'',b'',b'',b'1001.4',b'1010.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'99',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'16:00:00',b'0.0',b'25.9',b'',b'',b'',b'',b'252',b'1',b'',b'',b'',b'',b'1001.5',b'1010.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'100',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'20:00:00',b'0.0',b'25.5',b'',b'',b'',b'',b'268',b'2',b'',b'',b'',b'',b'998.8',b'1007.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'101',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-05',b'23:00:00',b'0.0',b'24.7',b'',b'',b'2',b'',b'262',b'1',b'',b'',b'',b'',b'998.4',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'102',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'01:00:00',b'0.0',b'25.5',b'',b'',b'3',b'',b'285',b'1',b'',b'',b'',b'',b'999.6',b'1008.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'103',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'02:00:00',b'0.0',b'27.8',b'',b'',b'99',b'',b'263',b'2',b'',b'',b'',b'',b'1000.4',b'1009.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'104',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'03:00:00',b'0.0',b'29.6',b'',b'',b'99',b'',b'157',b'2',b'',b'',b'',b'',b'1001.0',b'1009.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'105',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'04:00:00',b'0.0',b'30.2',b'',b'',b'93',b'',b'028',b'4',b'',b'',b'',b'',b'1000.9',b'1009.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'106',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'05:00:00',b'0.0',b'30.6',b'',b'',b'90',b'',b'038',b'4',b'',b'',b'',b'',b'1000.1',b'1008.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'107',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'06:00:00',b'0.0',b'30.5',b'',b'',b'92',b'',b'133',b'4',b'',b'',b'',b'',b'999.3',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'108',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'07:00:00',b'0.0',b'31.2',b'',b'',b'84',b'',b'079',b'4',b'',b'',b'',b'',b'998.3',b'1007.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'109',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'08:00:00',b'0.0',b'30.2',b'',b'',b'91',b'',b'100',b'3',b'',b'',b'',b'',b'997.4',b'1006.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'110',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'09:00:00',b'0.0',b'29.7',b'',b'',b'95',b'',b'037',b'3',b'',b'',b'',b'',b'996.9',b'1005.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'111',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'10:00:00',b'0.0',b'29.1',b'',b'',b'97',b'',b'107',b'2',b'',b'',b'',b'',b'996.7',b'1005.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'112',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'11:00:00',b'0.0',b'27.6',b'',b'',b'99',b'',b'019',b'3',b'',b'',b'',b'',b'996.8',b'1005.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'113',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'12:00:00',b'0.0',b'27.0',b'',b'31.9',b'99',b'',b'036',b'2',b'',b'',b'',b'',b'997.2',b'1006.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'114',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'13:00:00',b'0.0',b'26.9',b'',b'',b'99',b'',b'043',b'3',b'',b'',b'',b'',b'997.9',b'1006.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'115',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'14:00:00',b'0.0',b'26.6',b'',b'',b'99',b'',b'043',b'2',b'',b'',b'',b'',b'998.7',b'1007.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'116',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'15:00:00',b'0.0',b'27.1',b'',b'',b'99',b'',b'057',b'3',b'',b'',b'',b'',b'999.1',b'1008.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'117',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'16:00:00',b'0.0',b'27.0',b'',b'',b'99',b'',b'053',b'4',b'',b'',b'',b'',b'998.8',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'118',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'17:00:00',b'0.0',b'27.0',b'',b'',b'99',b'',b'061',b'4',b'',b'',b'',b'',b'998.5',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'119',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'18:00:00',b'0.0',b'27.1',b'',b'',b'99',b'',b'089',b'2',b'',b'',b'',b'',b'998.1',b'1007.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'120',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-06',b'22:00:00',b'0.0',b'25.5',b'',b'',b'2',b'',b'249',b'2',b'',b'',b'',b'',b'996.2',b'1005.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'121',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'01:00:00',b'0.0',b'27.8',b'',b'',b'99',b'',b'059',b'4',b'',b'',b'',b'',b'998.3',b'1007.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'122',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'02:00:00',b'0.0',b'29.3',b'',b'',b'99',b'',b'072',b'6',b'',b'',b'',b'',b'999.0',b'1007.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'123',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'03:00:00',b'0.0',b'30.4',b'',b'',b'97',b'',b'067',b'5',b'',b'',b'',b'',b'999.5',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'124',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'04:00:00',b'0.0',b'31.5',b'',b'',b'93',b'',b'074',b'4',b'',b'',b'',b'',b'999.2',b'1008.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'125',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'05:00:00',b'0.0',b'31.0',b'',b'',b'93',b'',b'084',b'7',b'',b'',b'',b'',b'998.8',b'1007.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'126',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'06:00:00',b'0.0',b'32.0',b'',b'',b'90',b'',b'086',b'5',b'',b'',b'',b'',b'997.5',b'1006.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'127',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'07:00:00',b'0.0',b'31.2',b'',b'',b'93',b'',b'076',b'5',b'',b'',b'',b'',b'996.6',b'1005.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'128',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'08:00:00',b'0.0',b'31.6',b'',b'',b'93',b'',b'109',b'4',b'',b'',b'',b'',b'996.2',b'1005.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'129',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'09:00:00',b'0.0',b'30.1',b'',b'',b'95',b'',b'084',b'4',b'',b'',b'',b'',b'995.7',b'1004.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'130',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'10:00:00',b'0.0',b'30.0',b'',b'',b'96',b'',b'070',b'4',b'',b'',b'',b'',b'996.0',b'1004.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'131',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'11:00:00',b'0.0',b'28.6',b'',b'',b'99',b'',b'063',b'2',b'',b'',b'',b'',b'996.4',b'1005.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'132',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'12:00:00',b'0.0',b'27.8',b'',b'32.9',b'99',b'',b'059',b'3',b'',b'',b'',b'',b'996.9',b'1005.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'133',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'13:00:00',b'1.0',b'27.4',b'',b'',b'99',b'',b'083',b'10',b'',b'',b'',b'',b'997.7',b'1006.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'134',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'14:00:00',b'2.0',b'25.5',b'',b'',b'',b'',b'041',b'3',b'',b'',b'',b'',b'998.7',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'135',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'15:00:00',b'5.0',b'24.9',b'',b'',b'1',b'',b'145',b'1',b'',b'',b'',b'',b'999.2',b'1008.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'136',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'22:00:00',b'9.0',b'26.3',b'',b'',b'3',b'',b'053',b'3',b'',b'',b'',b'',b'996.7',b'1005.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'137',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-07',b'23:00:00',b'9.0',b'26.6',b'',b'',b'',b'',b'067',b'6',b'',b'',b'',b'',b'997.1',b'1006.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'138',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'01:00:00',b'9.0',b'27.8',b'',b'',b'99',b'',b'060',b'6',b'',b'',b'',b'',b'998.6',b'1007.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'139',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'02:00:00',b'9.0',b'27.3',b'',b'',b'99',b'',b'053',b'4',b'',b'',b'',b'',b'999.3',b'1008.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'140',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'03:00:00',b'9.0',b'29.7',b'',b'',b'99',b'',b'080',b'9',b'',b'',b'',b'',b'999.8',b'1008.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'141',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'04:00:00',b'0.0',b'30.5',b'',b'',b'99',b'',b'085',b'10',b'',b'',b'',b'',b'1000.0',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'142',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'05:00:00',b'0.0',b'30.6',b'',b'',b'99',b'',b'080',b'7',b'',b'',b'',b'',b'999.5',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'143',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'06:00:00',b'0.0',b'29.8',b'',b'',b'99',b'',b'085',b'10',b'',b'',b'',b'',b'998.4',b'1007.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'144',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'07:00:00',b'1.0',b'26.8',b'',b'',b'',b'',b'079',b'10',b'',b'',b'',b'',b'998.1',b'1007.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'145',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'08:00:00',b'1.0',b'27.6',b'',b'',b'99',b'',b'067',b'6',b'',b'',b'',b'',b'996.6',b'1005.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'146',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'09:00:00',b'1.0',b'28.0',b'',b'',b'99',b'',b'074',b'9',b'',b'',b'',b'',b'996.2',b'1005.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'147',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'10:00:00',b'1.0',b'28.1',b'',b'',b'99',b'',b'089',b'8',b'',b'',b'',b'',b'996.4',b'1005.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'148',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'11:00:00',b'1.0',b'28.0',b'',b'',b'99',b'',b'086',b'11',b'',b'',b'',b'',b'996.7',b'1005.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'149',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'12:00:00',b'1.0',b'26.8',b'',b'31.9',b'99',b'',b'091',b'5',b'',b'',b'',b'',b'997.6',b'1006.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'150',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'13:00:00',b'1.0',b'27.1',b'',b'',b'99',b'',b'112',b'7',b'',b'',b'',b'',b'998.3',b'1007.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'151',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'14:00:00',b'1.0',b'27.4',b'',b'',b'99',b'',b'101',b'8',b'',b'',b'',b'',b'998.8',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'152',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-08',b'15:00:00',b'1.0',b'27.8',b'',b'',b'99',b'',b'089',b'8',b'',b'',b'',b'',b'999.1',b'1008.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'153',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'01:00:00',b'6.0',b'26.2',b'',b'',b'1',b'',b'097',b'9',b'',b'',b'',b'',b'999.7',b'1008.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'U'
b'154',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'02:00:00',b'6.0',b'27.2',b'',b'',b'99',b'',b'082',b'7',b'',b'',b'',b'',b'1000.0',b'1008.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'155',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'03:00:00',b'6.0',b'28.5',b'',b'',b'99',b'',b'093',b'7',b'',b'',b'',b'',b'1000.8',b'1009.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'156',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'04:00:00',b'0.0',b'28.9',b'',b'',b'99',b'',b'100',b'6',b'',b'',b'',b'',b'1001.0',b'1009.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'157',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'05:00:00',b'0.0',b'29.5',b'',b'',b'99',b'',b'106',b'8',b'',b'',b'',b'',b'1000.1',b'1009.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'158',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'06:00:00',b'0.0',b'29.7',b'',b'',b'99',b'',b'098',b'11',b'',b'',b'',b'',b'999.2',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'159',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'07:00:00',b'0.0',b'30.8',b'',b'',b'96',b'',b'089',b'7',b'',b'',b'',b'',b'998.5',b'1007.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'160',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'08:00:00',b'0.0',b'30.2',b'',b'',b'99',b'',b'104',b'6',b'',b'',b'',b'',b'997.7',b'1006.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'161',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'09:00:00',b'0.0',b'29.3',b'',b'',b'99',b'',b'103',b'11',b'',b'',b'',b'',b'997.7',b'1006.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'162',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'10:00:00',b'0.0',b'26.9',b'',b'',b'99',b'',b'143',b'10',b'',b'',b'',b'',b'997.7',b'1006.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'163',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'11:00:00',b'0.0',b'27.5',b'',b'',b'99',b'',b'126',b'11',b'',b'',b'',b'',b'998.1',b'1007.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'164',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'12:00:00',b'0.0',b'27.5',b'',b'31.5',b'99',b'',b'106',b'6',b'',b'',b'',b'',b'998.5',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'165',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'13:00:00',b'0.0',b'27.7',b'',b'',b'99',b'',b'112',b'5',b'',b'',b'',b'',b'999.2',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'166',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'14:00:00',b'0.0',b'27.5',b'',b'',b'99',b'',b'119',b'7',b'',b'',b'',b'',b'1000.0',b'1008.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'167',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'15:00:00',b'0.0',b'27.5',b'',b'',b'99',b'',b'107',b'4',b'',b'',b'',b'',b'1000.2',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'168',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-09',b'23:00:00',b'4.0',b'25.7',b'',b'',b'',b'',b'116',b'5',b'',b'',b'',b'',b'998.6',b'1007.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'169',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-10',b'01:00:00',b'52.0',b'24.8',b'',b'',b'37',b'',b'109',b'7',b'',b'',b'',b'',b'1000.3',b'1009.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'170',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-10',b'02:00:00',b'4.0',b'26.0',b'',b'',b'',b'',b'097',b'7',b'',b'',b'',b'',b'1001.1',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
